id,type,src,dst,app,latency,message,ctime,size,buffer
23,LINK,11,6,SimpleCase,8.00075,M.B,47.023348955512716,750,29
3,LINK,11,6,SimpleCase,8.00075,M.B,49.02409895551271,750,29
18,LINK,11,6,SimpleCase,8.00075,M.B,49.02536628318545,750,29
25,LINK,0,7,SimpleCase,10.000264,M.A,50,1100,30
26,LINK,1,13,SimpleCase,1.0002608695652173,M.A,50,1100,31
27,LINK,2,12,SimpleCase,9.000282051282051,M.A,50,1100,32
28,LINK,3,9,SimpleCase,4.000375,M.A,50,1100,33
29,LINK,4,10,SimpleCase,8.000250950570342,M.A,50,1100,34
30,LINK,5,8,SimpleCase,8.000341968911917,M.A,50,1100,35
21,LINK,5,14,SimpleCase,3.000227848101266,M.A,50.00022784810127,900,35
19,LINK,5,7,SimpleCase,2.000216,M.A,50.00034042396313,900,35
21,LINK,14,6,SimpleCase,4.00075,M.B,50.022547010867875,750,36
19,LINK,7,6,SimpleCase,5.00075,M.B,50.02265958672974,750,37
12,LINK,7,6,SimpleCase,5.00075,M.B,50.024614617312054,750,37
4,LINK,7,6,SimpleCase,5.00075,M.B,50.02686063742098,750,37
26,LINK,13,6,SimpleCase,4.00075,M.B,51.022583234212625,750,37
15,LINK,13,6,SimpleCase,4.00075,M.B,51.02484895551271,750,37
19,LINK,7,6,SimpleCase,5.00075,M.B,52.02287558672974,750,37
9,LINK,7,6,SimpleCase,5.00075,M.B,52.02460545308918,750,37
21,LINK,14,6,SimpleCase,4.00075,M.B,53.02277485896914,750,37
9,LINK,14,6,SimpleCase,4.00075,M.B,53.025598955512706,750,37
28,LINK,9,6,SimpleCase,6.00075,M.B,54.02269736464741,750,37
21,LINK,9,6,SimpleCase,6.00075,M.B,54.02329701086788,750,37
20,LINK,9,6,SimpleCase,6.00075,M.B,55.0232817611918,750,37
26,LINK,9,6,SimpleCase,6.00075,M.B,55.02333323421263,750,37
10,LINK,9,6,SimpleCase,6.00075,M.B,55.02761063742098,750,37
29,LINK,10,6,SimpleCase,9.00075,M.B,58.02257331521775,750,36
30,LINK,8,6,SimpleCase,2.00075,M.B,58.02266433355933,750,37
21,LINK,8,6,SimpleCase,2.00075,M.B,58.024047010867875,750,37
2,LINK,8,6,SimpleCase,2.00075,M.B,58.025355453089176,750,37
6,LINK,8,6,SimpleCase,2.00075,M.B,58.026116283185445,750,37
27,LINK,12,6,SimpleCase,1.00075,M.B,59.02260441592946,750,37
15,LINK,12,6,SimpleCase,1.00075,M.B,59.024083234212625,750,37
31,LINK,0,7,SimpleCase,10.000264,M.A,60,1100,38
31,LINK,0,9,SimpleCase,10.000375,M.A,60,1100,39
31,LINK,0,11,SimpleCase,9.000259842519686,M.A,60,1100,40
31,LINK,0,12,SimpleCase,1.0002820512820514,M.A,60,1100,41
31,LINK,0,14,SimpleCase,3.0002784810126584,M.A,60,1100,42
32,LINK,1,13,SimpleCase,1.0002608695652173,M.A,60,1100,43
33,LINK,2,10,SimpleCase,5.000250950570342,M.A,60,1100,44
34,LINK,3,8,SimpleCase,8.000341968911917,M.A,60,1100,45
35,LINK,4,13,SimpleCase,1.0002608695652173,M.A,60,1100,46
36,LINK,5,12,SimpleCase,1.0002820512820514,M.A,60,1100,47
25,LINK,5,7,SimpleCase,2.000264,M.A,60.00060442396313,1100,47
25,LINK,7,6,SimpleCase,5.00075,M.B,60.02292678861054,750,48
27,LINK,7,6,SimpleCase,5.00075,M.B,60.02335441592946,750,48
30,LINK,7,6,SimpleCase,5.00075,M.B,60.02341433355933,750,48
1,LINK,7,6,SimpleCase,5.00075,M.B,60.028360637420974,750,48
32,LINK,13,6,SimpleCase,4.00075,M.B,61.022583234212625,750,45
31,LINK,12,6,SimpleCase,1.00075,M.B,61.02260441592946,750,46
15,LINK,12,6,SimpleCase,1.00075,M.B,61.02410441592946,750,46
35,LINK,13,6,SimpleCase,4.00075,M.B,61.04490559886003,750,47
36,LINK,12,6,SimpleCase,1.00075,M.B,61.044926780576866,750,48
25,LINK,7,6,SimpleCase,5.00075,M.B,62.02319078861054,750,48
21,LINK,7,6,SimpleCase,5.00075,M.B,62.02416433355933,750,48
9,LINK,7,6,SimpleCase,5.00075,M.B,62.02479701086787,750,48
31,LINK,7,6,SimpleCase,5.00075,M.B,62.024854415929454,750,48
31,LINK,14,6,SimpleCase,4.00075,M.B,63.022600845660065,750,48
23,LINK,14,6,SimpleCase,4.00075,M.B,63.02403176119179,750,48
15,LINK,14,6,SimpleCase,4.00075,M.B,63.02560441592945,750,48
2,LINK,14,6,SimpleCase,4.00075,M.B,64.02491433355932,750,48
24,LINK,14,6,SimpleCase,4.00075,M.B,64.02610545308917,750,48
36,LINK,14,6,SimpleCase,4.00075,M.B,64.02635441592945,750,48
33,LINK,10,6,SimpleCase,9.00075,M.B,65.02257331521776,750,48
32,LINK,10,6,SimpleCase,9.00075,M.B,65.02333323421263,750,48
8,LINK,10,6,SimpleCase,9.00075,M.B,65.02911063742097,750,48
6,LINK,10,6,SimpleCase,9.00075,M.B,66.02566433355932,750,48
31,LINK,10,6,SimpleCase,9.00075,M.B,67.02335084566006,750,48
22,LINK,10,6,SimpleCase,9.00075,M.B,67.02686628318544,750,48
34,LINK,8,6,SimpleCase,2.00075,M.B,68.02266433355932,750,48
31,LINK,11,6,SimpleCase,8.00075,M.B,69.02258220716709,750,48
35,LINK,11,6,SimpleCase,8.00075,M.B,69.02408323421263,750,48
37,LINK,0,7,SimpleCase,10.000264,M.A,70,1100,49
38,LINK,1,13,SimpleCase,1.0002608695652173,M.A,70,1100,50
39,LINK,2,12,SimpleCase,9.000282051282051,M.A,70,1100,51
40,LINK,3,14,SimpleCase,4.000278481012658,M.A,70,1100,52
41,LINK,4,10,SimpleCase,8.000250950570342,M.A,70,1100,53
42,LINK,5,8,SimpleCase,8.000341968911917,M.A,70,1100,54
31,LINK,5,9,SimpleCase,1.000375,M.A,70.000375,1100,54
31,LINK,5,7,SimpleCase,2.000264,M.A,70.00086842396313,1100,54
31,LINK,9,6,SimpleCase,6.00075,M.B,70.02269736464741,750,55
31,LINK,7,6,SimpleCase,5.00075,M.B,70.02319078861053,750,56
34,LINK,7,6,SimpleCase,5.00075,M.B,70.02341433355932,750,56
28,LINK,7,6,SimpleCase,5.00075,M.B,70.02685545308917,750,56
7,LINK,7,6,SimpleCase,5.00075,M.B,70.02986063742097,750,56
38,LINK,13,6,SimpleCase,4.00075,M.B,71.02258323421263,750,55
31,LINK,9,6,SimpleCase,6.00075,M.B,71.02307236464742,750,56
23,LINK,9,6,SimpleCase,6.00075,M.B,71.02410084566006,750,56
3,LINK,9,6,SimpleCase,6.00075,M.B,71.02478176119179,750,56
31,LINK,7,6,SimpleCase,5.00075,M.B,72.02345478861054,750,56
40,LINK,14,6,SimpleCase,4.00075,M.B,74.02260084566007,750,56
38,LINK,14,6,SimpleCase,4.00075,M.B,75.02333323421263,750,56
15,LINK,14,6,SimpleCase,4.00075,M.B,75.02485084566005,750,56
2,LINK,14,6,SimpleCase,4.00075,M.B,75.03061063742096,750,56
21,LINK,14,6,SimpleCase,4.00075,M.B,76.02760545308917,750,56
29,LINK,14,6,SimpleCase,4.00075,M.B,76.02761628318544,750,56
