id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,SimpleCase,ServiceA,M.A,0,25,0,16,Sensor,0.02678790485805795,811.0000791366906,811.0268670415487,810.0,811.0000791366906
8,COMP_M,SimpleCase,ServiceA,M.A,7,23,7,14,Sensor,0.02678790485805795,812.0000423076923,812.0268302125504,810.0,812.0000423076923
1,COMP_M,SimpleCase,ServiceA,M.A,0,26,0,17,Sensor,0.02678790485805795,812.0000468085107,812.0268347133687,810.0,812.0000468085107
3,COMP_M,SimpleCase,ServiceA,M.A,2,23,2,14,Sensor,0.02678790485805795,813.0000423076923,813.0268302125504,810.0,813.0000423076923
7,COMP_M,SimpleCase,ServiceA,M.A,6,23,6,14,Sensor,0.02678790485805795,813.0268302125504,813.0536181174084,810.0,813.0000423076923
5,COMP_M,SimpleCase,ServiceA,M.A,4,25,4,16,Sensor,0.02678790485805795,814.0000791366906,814.0268670415487,810.0,814.0000791366906
6,COMP_M,SimpleCase,ServiceA,M.A,5,26,5,17,Sensor,0.02678790485805795,816.0000468085107,816.0268347133687,810.0,816.0000468085107
1,COMP_M,SimpleCase,ServiceA,M.A,0,25,0,16,Sensor,0.02678790485805795,816.0001582733813,816.0269461782393,810.0,816.0001582733813
8,SINK_M,SimpleCase,Actuator,M.B,23,8,14,8,ServiceA,0,816.0275802125503,816.0275802125503,812.0268302125504,816.0275802125503
1,SINK_M,SimpleCase,Actuator,M.B,25,8,16,8,ServiceA,0,816.0276170415488,816.0276170415488,811.0268670415487,816.0276170415488
4,COMP_M,SimpleCase,ServiceA,M.A,3,24,3,15,Sensor,0.02678790485805795,817.0000564102564,817.0268443151144,810.0,817.0000564102564
1,COMP_M,SimpleCase,ServiceA,M.A,0,21,0,12,Sensor,0.02678790485805795,817.0000753424657,817.0268632473238,810.0,817.0000753424657
2,COMP_M,SimpleCase,ServiceA,M.A,1,19,1,10,Sensor,0.02678790485805795,818.0000909090909,818.026878813949,810.0,818.0000909090909
1,COMP_M,SimpleCase,ServiceA,M.A,0,18,0,9,Sensor,0.02678790485805795,819.0000423076923,819.0268302125504,810.0,819.0000423076923
1,COMP_M,SimpleCase,ServiceA,M.A,0,20,0,11,Sensor,0.02678790485805795,819.000047008547,819.0268349134051,810.0,819.000047008547
1,COMP_M,SimpleCase,ServiceA,M.A,0,22,0,13,Sensor,0.02678790485805795,820.0000552763819,820.02684318124,810.0,820.0000552763819
1,SINK_M,SimpleCase,Actuator,M.B,26,8,17,8,ServiceA,0,820.0275847133687,820.0275847133687,812.0268347133687,820.0275847133687
3,SINK_M,SimpleCase,Actuator,M.B,23,8,14,8,ServiceA,0,820.0283302125504,820.0283302125504,813.0268302125504,820.0283302125504
10,COMP_M,SimpleCase,ServiceA,M.A,1,21,1,12,Sensor,0.02678790485805795,821.0000753424657,821.0268632473238,820.0,821.0000753424657
