state,Edge Device,Latency,Edge_Device
"{'PR': {0: 4, 1: 6, 2: 5, 3: 8, 4: 4, 5: 8, 6: 3, 7: 6, 8: 8, 9: 1}, 'memories': {0: (400, 19600), 1: (600, 19400), 2: (600, 19400), 3: (200, 19800), 4: (400, 19600), 5: (600, 19400), 6: (600, 19400), 7: (600, 19400), 8: (400, 19600), 9: (600, 19400)}, 'bandwidth': {0: (3.8000000000000003, 3.8000000000000003), 1: (4.0, 4.0), 2: (3.65, 3.65), 3: (4.033333333333333, 4.033333333333333), 4: (4.283333333333333, 4.283333333333333), 5: (1.4383333333333335, 1.4383333333333335), 6: (4.216666666666667, 4.216666666666667), 7: (2.766666666666667, 2.766666666666667), 8: (4.3999999999999995, 4.3999999999999995), 9: (4.2, 4.2)}, 'input_size': 900}",,22.6975438642871,5.0
"{'PR': {0: 8, 1: 6, 2: 8, 3: 1, 4: 3, 5: 10, 6: 1, 7: 1, 8: 2, 9: 5}, 'memories': {0: (600, 19400), 1: (200, 19800), 2: (400, 19600), 3: (200, 19800), 4: (600, 19400), 5: (400, 19600), 6: (600, 19400), 7: (200, 19800), 8: (200, 19800), 9: (600, 19400)}, 'bandwidth': {0: (3.0833333333333335, 3.0833333333333335), 1: (4.316666666666666, 4.316666666666666), 2: (4.3, 4.3), 3: (4.2, 4.2), 4: (3.5, 3.5), 5: (3.9166666666666665, 3.9166666666666665), 6: (4.233333333333333, 4.233333333333333), 7: (1.8833333333333335, 1.8833333333333335), 8: (4.1000000000000005, 4.1000000000000005), 9: (3.85, 3.85)}, 'input_size': 1000}",,7.357055601465035,7.0
"{'PR': {0: 2, 1: 2, 2: 10, 3: 8, 4: 8, 5: 10, 6: 6, 7: 5, 8: 3, 9: 1}, 'memories': {0: (200, 19800), 1: (200, 19800), 2: (400, 19600), 3: (400, 19600), 4: (600, 19400), 5: (200, 19800), 6: (200, 19800), 7: (600, 19400), 8: (200, 19800), 9: (600, 19400)}, 'bandwidth': {0: (3.7142857142857144, 3.7142857142857144), 1: (3.7142857142857144, 3.7142857142857144), 2: (2.1142857142857143, 2.1142857142857143), 3: (2.9857142857142853, 2.9857142857142853), 4: (3.4857142857142853, 3.4857142857142853), 5: (2.9714285714285715, 2.9714285714285715), 6: (2.1142857142857143, 2.1142857142857143), 7: (3.457142857142857, 3.457142857142857), 8: (2.8428571428571425, 2.8428571428571425), 9: (1.542857142857143, 1.542857142857143)}, 'input_size': 1000}",,18.69965777216558,6.0
"{'PR': {0: 10, 1: 5, 2: 1, 3: 9, 4: 2, 5: 9, 6: 2, 7: 10, 8: 7, 9: 10}, 'memories': {0: (600, 19400), 1: (200, 19800), 2: (400, 19600), 3: (400, 19600), 4: (600, 19400), 5: (600, 19400), 6: (200, 19800), 7: (200, 19800), 8: (200, 19800), 9: (600, 19400)}, 'bandwidth': {0: (4.116666666666666, 4.116666666666666), 1: (4.166666666666667, 4.166666666666667), 2: (3.5666666666666664, 3.5666666666666664), 3: (4.216666666666667, 4.216666666666667), 4: (3.6166666666666667, 3.6166666666666667), 5: (4.3, 4.3), 6: (4.0, 4.0), 7: (3.5, 3.5), 8: (2.9499999999999997, 2.9499999999999997), 9: (4.266666666666667, 4.266666666666667)}, 'input_size': 1100}",,20.69792147046465,8.0
"{'PR': {0: 8, 1: 4, 2: 2, 3: 5, 4: 10, 5: 10, 6: 7, 7: 1, 8: 9, 9: 6}, 'memories': {0: (600, 19400), 1: (400, 19600), 2: (400, 19600), 3: (200, 19800), 4: (600, 19400), 5: (400, 19600), 6: (200, 19800), 7: (600, 19400), 8: (200, 19800), 9: (400, 19600)}, 'bandwidth': {0: (3.4333333333333336, 3.4333333333333336), 1: (3.3000000000000003, 3.3000000000000003), 2: (4.333333333333333, 4.333333333333333), 3: (4.0, 4.0), 4: (3.483333333333333, 3.483333333333333), 5: (3.3166666666666664, 3.3166666666666664), 6: (3.8000000000000003, 3.8000000000000003), 7: (2.0166666666666666, 2.0166666666666666), 8: (2.25, 2.25), 9: (4.333333333333333, 4.333333333333333)}, 'input_size': 900}",,16.69729317800676,3.0
"{'PR': {0: 4, 1: 8, 2: 4, 3: 6, 4: 6, 5: 8, 6: 9, 7: 6, 8: 6, 9: 1}, 'memories': {0: (400, 19600), 1: (200, 19800), 2: (400, 19600), 3: (200, 19800), 4: (600, 19400), 5: (400, 19600), 6: (400, 19600), 7: (600, 19400), 8: (200, 19800), 9: (200, 19800)}, 'bandwidth': {0: (2.9499999999999997, 2.9499999999999997), 1: (3.966666666666667, 3.966666666666667), 2: (4.233333333333333, 4.233333333333333), 3: (4.083333333333333, 4.083333333333333), 4: (3.9166666666666665, 3.9166666666666665), 5: (4.216666666666667, 4.216666666666667), 6: (3.9499999999999997, 3.9499999999999997), 7: (3.5666666666666664, 3.5666666666666664), 8: (4.033333333333333, 4.033333333333333), 9: (3.0, 3.0)}, 'input_size': 1000}",,24.69821293929337,6.0
"{'PR': {0: 2, 1: 2, 2: 7, 3: 8, 4: 4, 5: 3, 6: 10, 7: 5, 8: 9, 9: 5}, 'memories': {0: (400, 19600), 1: (400, 19600), 2: (400, 19600), 3: (200, 19800), 4: (400, 19600), 5: (200, 19800), 6: (200, 19800), 7: (400, 19600), 8: (400, 19600), 9: (400, 19600)}, 'bandwidth': {0: (3.7857142857142856, 3.7857142857142856), 1: (3.7142857142857144, 3.7142857142857144), 2: (3.685714285714286, 3.685714285714286), 3: (3.414285714285714, 3.414285714285714), 4: (3.5142857142857147, 3.5142857142857147), 5: (2.9285714285714284, 2.9285714285714284), 6: (2.7857142857142856, 2.7857142857142856), 7: (3.7142857142857144, 3.7142857142857144), 8: (3.4857142857142853, 3.4857142857142853), 9: (2.9285714285714284, 2.9285714285714284)}, 'input_size': 900}",,10.69957446383475,0.0
"{'PR': {0: 3, 1: 8, 2: 5, 3: 6, 4: 10, 5: 4, 6: 5, 7: 4, 8: 2, 9: 6}, 'memories': {0: (400, 19600), 1: (200, 19800), 2: (200, 19800), 3: (400, 19600), 4: (600, 19400), 5: (200, 19800), 6: (400, 19600), 7: (400, 19600), 8: (400, 19600), 9: (400, 19600)}, 'bandwidth': {0: (2.942857142857143, 2.942857142857143), 1: (2.557142857142857, 2.557142857142857), 2: (3.2142857142857144, 3.2142857142857144), 3: (1.9857142857142858, 1.9857142857142858), 4: (3.457142857142857, 3.457142857142857), 5: (2.5714285714285716, 2.5714285714285716), 6: (3.6285714285714286, 3.6285714285714286), 7: (3.542857142857143, 3.542857142857143), 8: (3.6142857142857143, 3.6142857142857143), 9: (3.4285714285714284, 3.4285714285714284)}, 'input_size': 1100}",,18.700192638253753,3.0
"{'PR': {0: 6, 1: 1, 2: 8, 3: 1, 4: 3, 5: 5, 6: 10, 7: 5, 8: 8, 9: 8}, 'memories': {0: (400, 19600), 1: (400, 19600), 2: (200, 19800), 3: (200, 19800), 4: (400, 19600), 5: (600, 19400), 6: (200, 19800), 7: (400, 19600), 8: (600, 19400), 9: (400, 19600)}, 'bandwidth': {0: (4.2, 4.2), 1: (4.266666666666667, 4.266666666666667), 2: (4.266666666666667, 4.266666666666667), 3: (3.483333333333333, 3.483333333333333), 4: (4.333333333333333, 4.333333333333333), 5: (3.85, 3.85), 6: (3.8833333333333333, 3.8833333333333333), 7: (4.216666666666667, 4.216666666666667), 8: (4.25, 4.25), 9: (3.0, 3.0)}, 'input_size': 1100}",,13.981956900624112,4.0
"{'PR': {0: 2, 1: 1, 2: 5, 3: 4, 4: 8, 5: 5, 6: 7, 7: 1, 8: 8, 9: 5}, 'memories': {0: (200, 19800), 1: (600, 19400), 2: (400, 19600), 3: (600, 19400), 4: (600, 19400), 5: (200, 19800), 6: (400, 19600), 7: (600, 19400), 8: (200, 19800), 9: (600, 19400)}, 'bandwidth': {0: (25.7, 25.7), 1: (20.5, 20.5), 2: (23.2, 23.2), 3: (24.0, 24.0), 4: (25.3, 25.3), 5: (23.3, 23.3), 6: (21.1, 21.1), 7: (20.5, 20.5), 8: (24.6, 24.6), 9: (25.0, 25.0)}, 'input_size': 900}",,16.695955474900806,5.0
