id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,SimpleCase,ServiceA,M.A,0,28,0,18,Sensor,0.022328768371710193,311.0224263293473,311.044755097719,310.0,311.0224263293473
8,COMP_M,SimpleCase,ServiceA,M.A,7,28,7,18,Sensor,0.022328768371710193,311.044755097719,311.06708386609074,310.0,311.0224263293473
1,COMP_M,SimpleCase,ServiceA,M.A,0,24,0,14,Sensor,0.022328768371710193,312.02241648766994,312.04474525604167,310.0,312.02241648766994
3,COMP_M,SimpleCase,ServiceA,M.A,2,22,2,12,Sensor,0.022328768371710193,313.02240750852917,313.0447362769009,310.0,313.02240750852917
4,COMP_M,SimpleCase,ServiceA,M.A,3,23,3,13,Sensor,0.022328768371710193,315.0224121017051,315.04474087007674,310.0,315.0224121017051
7,COMP_M,SimpleCase,ServiceA,M.A,6,27,6,17,Sensor,0.022328768371710193,315.0224172639469,315.04474603231864,310.0,315.0224172639469
9,COMP_M,SimpleCase,ServiceA,M.A,8,28,8,18,Sensor,0.022328768371710193,316.0224263293473,316.044755097719,310.0,316.0224263293473
1,COMP_M,SimpleCase,ServiceA,M.A,0,29,0,19,Sensor,0.022328768371710193,317.02240658938337,317.0447353577551,310.0,317.02240658938337
5,COMP_M,SimpleCase,ServiceA,M.A,4,25,4,15,Sensor,0.022328768371710193,317.0224297784727,317.04475854684443,310.0,317.0224297784727
1,SINK_M,SimpleCase,Actuator,M.B,28,9,18,9,ServiceA,0,317.14367060467725,317.14367060467725,311.044755097719,317.14367060467725
2,COMP_M,SimpleCase,ServiceA,M.A,1,20,1,10,Sensor,0.022328768371710193,318.0224138747547,318.0447426431264,310.0,318.0224138747547
3,SINK_M,SimpleCase,Actuator,M.B,22,9,12,9,ServiceA,0,318.1436517838591,318.1436517838591,313.0447362769009,318.1436517838591
7,SINK_M,SimpleCase,Actuator,M.B,27,9,17,9,ServiceA,0,318.1436615392769,318.1436615392769,315.04474603231864,318.1436615392769
6,COMP_M,SimpleCase,ServiceA,M.A,5,26,5,16,Sensor,0.022328768371710193,319.02241648766994,319.04474525604167,310.0,319.02241648766994
1,SINK_M,SimpleCase,Actuator,M.B,24,9,14,9,ServiceA,0,319.1436607629999,319.1436607629999,312.04474525604167,319.1436607629999
5,SINK_M,SimpleCase,Actuator,M.B,25,9,15,9,ServiceA,0,319.14367405380267,319.14367405380267,317.04475854684443,319.14367405380267
1,COMP_M,SimpleCase,ServiceA,M.A,0,21,0,11,Sensor,0.022328768371710193,320.02247691651985,320.04480568489157,310.0,320.02247691651985
12,COMP_M,SimpleCase,ServiceA,M.A,2,28,2,18,Sensor,0.022328768371710193,321.0224263293473,321.044755097719,320.0,321.0224263293473
10,COMP_M,SimpleCase,ServiceA,M.A,0,25,0,15,Sensor,0.022328768371710193,321.0224297784727,321.04475854684443,320.0,321.0224297784727
1,SINK_M,SimpleCase,Actuator,M.B,21,9,11,9,ServiceA,0,321.1437211918498,321.1437211918498,320.04480568489157,321.1437211918498
1,SINK_M,SimpleCase,Actuator,M.B,28,9,18,9,ServiceA,0,321.2425895607609,321.2425895607609,311.044755097719,321.2425895607609
10,COMP_M,SimpleCase,ServiceA,M.A,0,22,0,12,Sensor,0.022328768371710193,322.02240750852917,322.0447362769009,320.0,322.02240750852917
10,COMP_M,SimpleCase,ServiceA,M.A,0,20,0,10,Sensor,0.022328768371710193,322.0224138747547,322.0447426431264,320.0,322.0224138747547
1,COMP_M,SimpleCase,ServiceA,M.A,0,28,0,18,Sensor,0.022328768371710193,322.04485265869465,322.0671814270664,310.0,322.04485265869465
11,COMP_M,SimpleCase,ServiceA,M.A,1,24,1,14,Sensor,0.022328768371710193,323.02241648766994,323.04474525604167,320.0,323.02241648766994
2,SINK_M,SimpleCase,Actuator,M.B,20,9,10,9,ServiceA,0,323.14365815008466,323.14365815008466,318.0447426431264,323.14365815008466
8,SINK_M,SimpleCase,Actuator,M.B,28,9,18,9,ServiceA,0,323.24258611163555,323.24258611163555,311.06708386609074,323.24258611163555
10,SINK_M,SimpleCase,Actuator,M.B,25,9,15,9,ServiceA,0,323.3415050677192,323.3415050677192,321.04475854684443,323.3415050677192
10,COMP_M,SimpleCase,ServiceA,M.A,0,27,0,17,Sensor,0.022328768371710193,324.0224172639469,324.04474603231864,320.0,324.0224172639469
4,SINK_M,SimpleCase,Actuator,M.B,23,9,13,9,ServiceA,0,324.14365637703503,324.14365637703503,315.04474087007674,324.14365637703503
10,COMP_M,SimpleCase,ServiceA,M.A,0,23,0,13,Sensor,0.022328768371710193,325.0224121017051,325.04474087007674,320.0,325.0224121017051
14,COMP_M,SimpleCase,ServiceA,M.A,4,26,4,16,Sensor,0.022328768371710193,325.02241648766994,325.04474525604167,320.0,325.02241648766994
15,COMP_M,SimpleCase,ServiceA,M.A,5,28,5,18,Sensor,0.022328768371710193,325.0224263293473,325.044755097719,320.0,325.0224263293473
1,SINK_M,SimpleCase,Actuator,M.B,21,9,11,9,ServiceA,0,325.44042057467743,325.44042057467743,320.04480568489157,325.44042057467743
13,COMP_M,SimpleCase,ServiceA,M.A,3,29,3,19,Sensor,0.022328768371710193,326.02240658938337,326.0447353577551,320.0,326.02240658938337
18,COMP_M,SimpleCase,ServiceA,M.A,8,20,8,10,Sensor,0.022328768371710193,326.0224138747547,326.0447426431264,320.0,326.0224138747547
16,COMP_M,SimpleCase,ServiceA,M.A,6,25,6,15,Sensor,0.022328768371710193,326.0224297784727,326.04475854684443,320.0,326.0224297784727
1,SINK_M,SimpleCase,Actuator,M.B,29,9,19,9,ServiceA,0,326.1436508647133,326.1436508647133,317.0447353577551,326.1436508647133
17,COMP_M,SimpleCase,ServiceA,M.A,7,22,7,12,Sensor,0.022328768371710193,327.02240750852917,327.0447362769009,320.0,327.02240750852917
10,SINK_M,SimpleCase,Actuator,M.B,22,9,12,9,ServiceA,0,327.1436517838591,327.1436517838591,322.0447362769009,327.1436517838591
10,SINK_M,SimpleCase,Actuator,M.B,27,9,17,9,ServiceA,0,327.1436615392769,327.1436615392769,324.04474603231864,327.1436615392769
1,SINK_M,SimpleCase,Actuator,M.B,28,9,18,9,ServiceA,0,327.53933608163567,327.53933608163567,311.044755097719,327.53933608163567
8,COMP_M,SimpleCase,ServiceA,M.A,7,28,7,18,Sensor,0.022328768371710193,328.06727898804195,328.08960775641367,310.0,328.06727898804195
6,SINK_M,SimpleCase,Actuator,M.B,26,9,16,9,ServiceA,0,328.1436607629999,328.1436607629999,319.04474525604167,328.1436607629999
3,SINK_M,SimpleCase,Actuator,M.B,22,9,12,9,ServiceA,0,328.2425736570429,328.2425736570429,313.0447362769009,328.2425736570429
9,SINK_M,SimpleCase,Actuator,M.B,28,9,18,9,ServiceA,0,329.3415016185938,329.3415016185938,316.044755097719,329.3415016185938
16,SINK_M,SimpleCase,Actuator,M.B,25,9,15,9,ServiceA,0,329.6382515885939,329.6382515885939,326.04475854684443,329.6382515885939
10,COMP_M,SimpleCase,ServiceA,M.A,0,21,0,11,Sensor,0.022328768371710193,330.0449538330397,330.0672826014114,320.0,330.0449538330397
1,COMP_M,SimpleCase,ServiceA,M.A,0,21,0,11,Sensor,0.022328768371710193,330.0672826014114,330.08961136978314,310.0,330.0449538330397
11,SINK_M,SimpleCase,Actuator,M.B,24,9,14,9,ServiceA,0,330.1436607629999,330.1436607629999,323.04474525604167,330.1436607629999
4,SINK_M,SimpleCase,Actuator,M.B,23,9,13,9,ServiceA,0,330.24257704623517,330.24257704623517,315.04474087007674,330.24257704623517
19,COMP_M,SimpleCase,ServiceA,M.A,0,28,0,18,Sensor,0.02232236464740999,331.0231649178389,331.0454872824863,330.0,331.0231649178389
26,COMP_M,SimpleCase,ServiceA,M.A,7,28,7,18,Sensor,0.02232236464740999,331.0454872824863,331.0678096471337,330.0,331.0231649178389
10,SINK_M,SimpleCase,Actuator,M.B,21,9,11,9,ServiceA,0,331.16619810836966,331.16619810836966,330.0672826014114,331.16619810836966
1,SINK_M,SimpleCase,Actuator,M.B,29,9,19,9,ServiceA,0,331.7371670955522,331.7371670955522,317.0447353577551,331.7371670955522
19,COMP_M,SimpleCase,ServiceA,M.A,0,24,0,14,Sensor,0.02232236464740999,332.0233811881768,332.04570355282425,330.0,332.0233811881768
25,COMP_M,SimpleCase,ServiceA,M.A,6,22,6,12,Sensor,0.02232236464740999,332.02348707052977,332.04580943517715,330.0,332.02348707052977
17,SINK_M,SimpleCase,Actuator,M.B,22,9,12,9,ServiceA,0,332.2425672908174,332.2425672908174,327.0447362769009,332.2425672908174
1,SINK_M,SimpleCase,Actuator,M.B,21,9,11,9,ServiceA,0,332.26511361532795,332.26511361532795,330.08961136978314,332.26511361532795
7,SINK_M,SimpleCase,Actuator,M.B,27,9,17,9,ServiceA,0,333.34148916400113,333.34148916400113,315.04474603231864,333.34148916400113
11,SINK_M,SimpleCase,Actuator,M.B,24,9,14,9,ServiceA,0,333.3640291222862,333.3640291222862,323.04474525604167,333.3640291222862
