Timestamp,Edge Device 1,Edge Device 2,Edge Device 3,Edge Device 4,Edge Device 5,Edge Device 6,Edge Device 7,Edge Device 8,Edge Device 9,Edge Device 10
1804010204,128,249,20,58,2,54,52,142,36,4
1804010205,124,249,20,53,2,59,54,147,35,4
1804010206,125,243,22,56,1,61,56,142,31,4
1804010207,132,243,22,58,1,62,54,144,32,4
1804010208,134,245,21,54,1,59,54,144,32,4
1804010209,125,243,20,49,1,60,53,142,31,4
1804010210,124,226,20,54,1,63,54,140,35,5
1804010211,122,234,20,55,1,62,55,144,32,5
1804010212,120,230,18,62,1,61,54,147,33,5
1804010213,122,226,18,63,1,60,55,143,32,5
1804010214,120,224,19,67,1,57,56,147,31,5
1804010215,124,224,19,63,1,55,54,146,30,5
1804010216,127,222,20,60,1,61,54,144,29,4
1804010217,139,212,21,59,1,62,53,147,30,4
1804010218,136,218,22,62,1,62,54,147,26,4
1804010219,136,217,22,61,1,56,54,149,22,4
1804010220,137,227,23,63,1,56,53,150,26,5
1804010221,131,218,23,61,2,54,56,150,28,5
1804010222,126,218,23,52,2,56,56,156,29,4
1804010223,123,219,21,47,2,56,55,154,29,4
1804010224,129,215,22,51,2,53,55,155,26,4
1804010225,132,214,22,50,2,54,54,153,28,4
1804010226,129,211,22,58,1,56,55,149,26,4
1804010227,133,217,22,52,1,59,55,153,28,4
1804010228,124,213,23,55,1,54,56,151,28,4
1804010229,124,214,22,55,1,58,57,153,30,4
1804010230,122,210,23,51,1,55,55,159,27,4
1804010231,119,202,24,49,1,58,57,157,28,4
1804010232,121,194,24,54,1,61,59,158,28,4
1804010233,124,192,24,50,1,61,58,162,31,4
1804010234,125,196,25,49,1,63,59,162,26,4
1804010235,123,209,25,51,1,55,58,159,28,4
1804010236,125,204,27,51,1,55,60,163,30,4
1804010237,123,192,27,55,1,59,58,158,28,4
1804010238,121,196,26,54,1,53,57,155,28,4
1804010239,120,199,25,53,1,52,57,154,28,4
1804010240,120,181,25,51,1,57,58,153,29,4
1804010241,117,180,24,53,1,58,59,154,22,4
1804010242,109,185,23,47,1,55,58,153,24,4
1804010243,108,185,23,46,1,60,59,162,27,4
1804010244,106,185,23,43,1,58,59,163,25,4
1804010245,109,191,23,46,1,58,59,155,24,4
1804010246,107,197,24,44,1,53,61,156,23,4
1804010247,110,188,23,45,1,58,60,159,20,4
1804010248,110,191,24,45,1,56,60,159,20,4
1804010249,112,192,24,46,1,54,60,159,15,5
1804010250,115,190,23,42,1,54,60,161,16,5
1804010251,115,189,23,42,1,56,60,163,17,5
1804010252,119,183,23,44,1,55,61,162,20,5
1804010253,121,183,24,42,1,51,61,165,18,5
1804010254,122,179,24,43,1,54,61,161,19,5
1804010255,127,181,22,43,1,55,61,163,20,5
1804010256,121,171,22,43,2,56,61,158,20,5
1804010257,123,171,22,48,2,56,61,159,15,5
1804010258,123,174,23,48,2,52,60,164,18,5
1804010259,120,171,21,49,2,52,61,165,16,5
1804010300,117,171,21,52,1,59,62,164,14,5
1804010301,120,169,21,51,1,56,62,163,14,5
1804010302,116,164,21,48,1,58,60,166,13,5
1804010303,114,169,21,47,1,56,61,171,12,5
1804010304,116,168,22,46,1,55,62,172,12,5
1804010305,117,172,23,46,1,58,61,175,21,5
1804010306,117,170,24,44,1,55,61,167,17,5
1804010307,113,172,25,45,1,50,63,168,17,5
1804010308,116,163,25,45,1,48,61,168,15,5
1804010309,117,160,26,44,1,53,62,170,16,6
1804010310,120,171,27,45,1,53,62,169,15,6
1804010311,120,178,29,45,1,57,62,165,17,5
1804010312,122,178,28,46,1,59,62,167,16,6
1804010313,124,180,27,44,1,53,60,165,14,6
1804010314,122,179,27,42,1,54,59,165,15,5
1804010315,122,171,26,41,1,50,61,165,15,5
1804010316,120,173,25,46,1,48,62,164,14,5
1804010317,121,171,24,46,1,49,61,161,12,5
1804010318,121,174,24,43,1,49,62,162,13,5
1804010319,123,171,24,43,1,52,59,159,11,5
1804010320,121,169,24,47,1,52,61,158,15,5
1804010321,125,171,24,43,1,52,62,157,16,5
1804010322,125,160,25,46,1,53,61,158,16,5
1804010323,124,160,25,47,1,49,64,156,14,5
1804010324,120,153,25,46,1,50,64,160,13,5
1804010325,118,150,26,45,1,50,64,160,10,5
1804010326,115,151,25,44,1,53,65,160,13,5
1804010327,114,150,25,47,1,54,67,160,12,5
1804010328,112,156,24,46,1,51,68,161,13,5
1804010329,112,162,25,44,1,51,71,165,13,5
1804010330,111,159,25,44,1,55,69,166,12,5
1804010331,117,149,24,41,1,53,69,162,14,5
1804010332,113,153,24,43,1,52,68,162,14,5
1804010333,115,151,24,44,1,49,70,162,12,5
1804010334,115,137,24,45,1,53,71,164,9,5
1804010335,118,132,24,45,1,53,71,164,11,5
1804010336,121,141,24,45,1,54,71,164,11,5
1804010337,118,139,23,47,1,56,71,162,13,5
1804010338,113,149,24,48,1,57,70,163,11,5
1804010339,112,150,24,44,1,60,68,164,11,5
1804010340,111,139,24,48,1,60,67,165,13,5
1804010341,109,143,24,47,1,60,67,165,15,5
1804010342,110,136,24,47,1,58,67,165,16,5
1804010343,109,136,24,44,1,60,67,165,13,5
1804010344,108,137,23,43,1,56,67,161,15,5
1804010345,106,127,22,45,1,55,68,160,16,5
1804010346,105,124,22,45,1,52,69,162,16,5
1804010347,108,123,22,45,1,52,69,162,17,5
1804010348,109,132,22,44,1,51,68,164,15,5
1804010349,110,130,23,47,1,54,67,165,16,5
1804010350,112,141,23,48,1,53,68,165,14,5
1804010351,110,141,23,48,1,50,67,165,14,5
1804010352,109,145,23,48,1,48,67,165,13,5
1804010353,113,141,23,48,1,47,66,166,12,5
1804010354,111,140,22,50,1,50,66,169,12,5
1804010355,113,134,22,49,1,51,65,167,8,5
1804010356,112,138,24,51,1,50,67,162,8,5
1804010357,112,128,24,48,1,48,64,163,8,5
1804010358,111,139,24,48,1,47,66,162,10,5
1804010359,110,139,25,49,1,45,65,162,13,5
1804010400,114,134,25,50,1,46,67,162,11,5
1804010401,111,118,24,50,1,47,68,161,10,5
1804010402,109,122,23,48,1,47,68,161,12,5
1804010403,113,135,23,48,1,46,67,160,12,5
1804010404,112,133,24,47,1,47,67,161,13,5
1804010405,114,130,23,45,1,48,67,163,16,5
1804010406,114,131,23,47,1,48,68,164,15,5
1804010407,114,135,24,46,1,47,67,164,14,5
1804010408,113,129,25,47,1,47,67,165,14,5
1804010409,114,129,25,46,1,48,67,165,14,5
1804010410,113,126,26,46,1,47,68,167,14,5
1804010411,111,124,26,47,1,49,67,163,15,5
1804010412,108,134,26,47,1,51,69,168,20,5
1804010413,107,134,25,45,1,51,69,168,21,5
1804010414,108,130,25,43,1,48,69,166,21,5
1804010415,108,123,25,45,1,48,68,164,19,5
1804010416,108,128,25,45,1,48,67,163,17,5
1804010417,109,126,24,45,1,49,66,164,16,5
1804010418,110,130,25,48,1,50,66,165,14,5
1804010419,110,128,26,51,1,53,66,168,13,5
1804010420,111,127,26,51,1,51,69,170,15,5
1804010421,112,130,25,48,1,49,70,166,16,5
1804010422,110,131,26,52,1,52,68,165,16,5
1804010423,116,133,26,52,1,52,69,165,14,5
1804010424,116,133,29,50,1,50,69,164,15,5
1804010425,113,128,26,49,1,49,68,168,12,5
1804010426,116,132,27,53,1,50,70,170,9,5
1804010427,113,134,27,52,1,48,69,172,8,5
1804010428,112,131,29,54,1,50,67,174,8,5
1804010429,112,123,28,53,1,52,67,170,10,5
1804010430,110,121,28,52,1,47,67,170,10,5
1804010431,110,108,27,54,1,50,67,169,12,5
1804010432,107,103,27,53,1,52,67,170,14,5
1804010433,109,102,27,53,1,51,67,168,19,5
1804010434,112,108,28,53,1,49,67,166,20,5
1804010435,110,110,27,53,1,48,66,172,18,5
1804010436,113,114,29,55,1,53,66,171,17,5
1804010437,114,121,29,52,1,52,66,172,17,5
1804010438,113,118,30,54,1,51,65,170,20,5
1804010439,116,127,27,54,1,48,66,171,21,5
1804010440,113,131,25,53,1,51,67,168,20,5
1804010441,118,129,24,49,1,53,66,167,22,5
1804010442,123,134,25,51,1,53,66,168,19,5
1804010443,126,137,26,49,1,48,68,167,21,5
1804010444,122,136,26,53,1,52,67,165,20,5
1804010445,122,133,26,53,1,52,68,167,19,5
1804010446,120,133,29,54,1,51,67,160,19,5
1804010447,113,128,28,53,1,51,67,160,22,5
1804010448,110,129,28,52,1,53,67,161,22,5
1804010449,111,129,27,50,1,50,68,160,21,5
1804010450,108,132,26,49,1,51,69,161,24,5
1804010451,108,129,25,52,1,51,69,161,22,5
1804010452,111,128,23,56,1,50,69,160,23,5
1804010453,113,132,23,58,1,53,69,161,21,5
1804010454,115,143,23,57,1,54,70,161,19,5
1804010455,113,146,24,55,1,52,70,156,18,5
1804010456,113,143,24,56,1,52,71,161,21,5
1804010457,115,144,24,53,1,47,70,166,20,5
1804010458,115,136,23,52,1,51,69,166,21,5
1804010459,111,131,24,53,1,51,69,166,23,5
1804010500,109,138,24,54,2,54,69,164,27,6
1804010501,111,142,24,53,2,55,68,163,28,6
1804010502,109,143,23,58,2,51,68,162,26,6
1804010503,111,136,23,58,2,48,66,162,25,6
1804010504,109,134,21,61,2,49,66,167,22,6
1804010505,110,131,21,57,1,53,66,165,22,7
1804010506,109,134,21,59,1,54,67,167,24,7
1804010507,108,132,21,57,1,52,67,165,26,6
1804010508,105,138,21,63,1,51,68,164,27,6
1804010509,105,136,21,62,1,51,68,157,29,6
1804010510,102,138,21,62,1,54,68,158,27,6
1804010511,105,138,21,59,1,53,69,159,28,5
1804010512,102,137,22,55,1,56,68,158,28,5
1804010513,105,125,22,54,1,50,69,156,29,5
1804010514,106,121,21,55,1,55,69,163,29,5
1804010515,110,122,22,54,1,57,70,158,30,5
1804010516,108,131,23,54,1,58,70,158,28,5
