id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,0,9,SimpleCase,5.00003947368421,M.A,10,900,0
1,LINK,0,10,SimpleCase,1.0000376569037657,M.A,10,900,1
1,LINK,0,12,SimpleCase,3.000050847457627,M.A,10,900,2
1,LINK,0,15,SimpleCase,1.0000368852459016,M.A,10,900,3
1,LINK,0,17,SimpleCase,10.000042857142857,M.A,10,900,4
2,LINK,1,8,SimpleCase,4.000045454545455,M.A,10,900,5
3,LINK,2,11,SimpleCase,7.000035433070866,M.A,10,900,6
4,LINK,3,13,SimpleCase,9.00003829787234,M.A,10,900,7
5,LINK,4,14,SimpleCase,7.000037190082645,M.A,10,900,8
6,LINK,5,16,SimpleCase,5.000037656903766,M.A,10,900,9
7,LINK,6,15,SimpleCase,1.0000368852459016,M.A,10,900,10
1,LINK,6,15,SimpleCase,1.0000368852459016,M.A,11.000036885245901,900,9
7,LINK,6,15,SimpleCase,1.0000368852459016,M.A,11.000036885245901,900,10
1,LINK,6,10,SimpleCase,2.000037656903766,M.A,11.000037656903766,900,10
1,LINK,15,7,SimpleCase,3.00075,M.B,11.017894776958233,750,11
1,LINK,10,7,SimpleCase,8.00075,M.B,11.017895548616098,750,12
7,LINK,15,7,SimpleCase,3.00075,M.B,11.035752668670565,750,13
1,LINK,15,7,SimpleCase,3.00075,M.B,12.017931662204134,750,13
1,LINK,12,7,SimpleCase,5.00075,M.B,13.01790873916996,750,11
1,LINK,10,7,SimpleCase,8.00075,M.B,13.017933205519864,750,12
7,LINK,15,7,SimpleCase,3.00075,M.B,13.017968547450035,750,13
2,LINK,8,7,SimpleCase,3.00075,M.B,14.017903346257786,750,13
1,LINK,8,7,SimpleCase,3.00075,M.B,14.018644776958233,750,13
6,LINK,16,7,SimpleCase,5.00075,M.B,15.017895548616098,750,12
1,LINK,9,7,SimpleCase,5.00075,M.B,15.017897365396543,750,13
3,LINK,11,7,SimpleCase,2.00075,M.B,17.0178933247832,750,12
5,LINK,14,7,SimpleCase,10.00075,M.B,17.017895081794975,750,13
2,LINK,14,7,SimpleCase,10.00075,M.B,17.018653346257786,750,13
7,LINK,14,7,SimpleCase,10.00075,M.B,17.019394776958233,750,13
1,LINK,14,7,SimpleCase,10.00075,M.B,18.018658739169958,750,13
4,LINK,13,7,SimpleCase,9.00075,M.B,19.017896189584672,750,13
3,LINK,13,7,SimpleCase,9.00075,M.B,19.0186433247832,750,13
1,LINK,13,7,SimpleCase,9.00075,M.B,19.0186455486161,750,13
8,LINK,0,9,SimpleCase,5.00003947368421,M.A,20,900,14
8,LINK,0,10,SimpleCase,1.0000376569037657,M.A,20,900,15
8,LINK,0,12,SimpleCase,3.000050847457627,M.A,20,900,16
8,LINK,0,15,SimpleCase,1.0000368852459016,M.A,20,900,17
8,LINK,0,17,SimpleCase,10.000042857142857,M.A,20,900,18
9,LINK,1,8,SimpleCase,4.000045454545455,M.A,20,900,19
10,LINK,2,16,SimpleCase,3.000037656903766,M.A,20,900,20
11,LINK,3,11,SimpleCase,2.0000354330708663,M.A,20,900,21
12,LINK,4,14,SimpleCase,7.000037190082645,M.A,20,900,22
13,LINK,5,13,SimpleCase,4.00003829787234,M.A,20,900,23
14,LINK,6,15,SimpleCase,1.0000368852459016,M.A,20,900,24
1,LINK,6,17,SimpleCase,4.000042857142857,M.A,20.00004285714286,900,24
1,LINK,17,7,SimpleCase,9.00075,M.B,20.01790074885519,750,25
6,LINK,17,7,SimpleCase,9.00075,M.B,20.0186455486161,750,25
1,LINK,17,7,SimpleCase,9.00075,M.B,20.018647365396543,750,25
1,LINK,17,7,SimpleCase,9.00075,M.B,20.019403346257786,750,25
