id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,0,13,SimpleCase,4.7862196157603645,M.A,40,1100,0
1,LINK,0,14,SimpleCase,9.786285390740694,M.A,40,1100,1
1,LINK,0,17,SimpleCase,2.7860995228451495,M.A,40,1100,2
1,LINK,0,18,SimpleCase,9.786192535751246,M.A,40,1100,3
1,LINK,0,21,SimpleCase,10.786242379988007,M.A,40,1100,4
1,LINK,0,22,SimpleCase,5.786089331998383,M.A,40,1100,5
2,LINK,1,15,SimpleCase,7.786087341228317,M.A,40,1100,6
3,LINK,2,19,SimpleCase,9.786087341228317,M.A,40,1100,7
4,LINK,3,22,SimpleCase,3.786089331998383,M.A,40,1100,8
5,LINK,4,15,SimpleCase,10.786087341228317,M.A,40,1100,9
6,LINK,5,15,SimpleCase,5.786087341228317,M.A,40,1100,10
7,LINK,6,15,SimpleCase,3.786087341228317,M.A,40,1100,11
8,LINK,7,15,SimpleCase,9.786087341228317,M.A,40,1100,12
9,LINK,8,15,SimpleCase,7.786087341228317,M.A,40,1100,13
10,LINK,9,15,SimpleCase,7.786087341228317,M.A,40,1100,14
11,LINK,10,15,SimpleCase,10.786087341228317,M.A,40,1100,15
12,LINK,11,15,SimpleCase,3.786087341228317,M.A,40,1100,16
7,LINK,11,15,SimpleCase,3.786087341228317,M.A,43.78608734122832,1100,14
12,LINK,11,15,SimpleCase,3.786087341228317,M.A,43.78608734122832,1100,15
1,LINK,17,12,SimpleCase,10.098165506958251,M.B,44.57167523616649,750,15
7,LINK,15,12,SimpleCase,5.09816550695825,M.B,45.57166305454966,750,15
4,LINK,22,12,SimpleCase,8.098165506958251,M.B,45.571665045319726,750,16
1,LINK,13,12,SimpleCase,1.0981655069582505,M.B,46.57179532908171,750,15
12,LINK,15,12,SimpleCase,5.09816550695825,M.B,47.357238767871,750,16
1,LINK,22,12,SimpleCase,8.098165506958251,M.B,47.571665045319726,750,17
1,LINK,22,12,SimpleCase,8.098165506958251,M.B,47.66996083603996,750,16
6,LINK,15,12,SimpleCase,5.09816550695825,M.B,49.142814481192346,750,14
7,LINK,15,12,SimpleCase,5.09816550695825,M.B,50.66982856150791,750,10
7,LINK,15,12,SimpleCase,5.09816550695825,M.B,50.92839019451369,750,8
3,LINK,19,12,SimpleCase,9.098165506958251,M.B,51.57166305454966,750,8
1,LINK,18,12,SimpleCase,3.0981655069582503,M.B,51.57176824907259,750,9
