id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
3,COMP_M,SimpleCase,ServiceA,M.A,2,18,2,13,Sensor,0.022323431928575947,111.022413595863,111.04473702779158,110.0,111.022413595863
1,COMP_M,SimpleCase,ServiceA,M.A,0,16,0,11,Sensor,0.022323431928575947,111.02242869508648,111.04475212701504,110.0,111.02242869508648
1,COMP_M,SimpleCase,ServiceA,M.A,0,17,0,12,Sensor,0.022323431928575947,112.02243022804508,112.04475365997365,110.0,112.02243022804508
8,COMP_M,SimpleCase,ServiceA,M.A,7,16,7,11,Sensor,0.022323431928575947,113.02242869508648,113.04475212701504,110.0,113.02242869508648
5,COMP_M,SimpleCase,ServiceA,M.A,4,16,4,11,Sensor,0.022323431928575947,114.02242869508648,114.04475212701504,110.0,114.02242869508648
7,COMP_M,SimpleCase,ServiceA,M.A,6,16,6,11,Sensor,0.022323431928575947,114.04475212701504,114.06707555894363,110.0,114.02242869508648
3,COMP_M,SimpleCase,ServiceA,M.A,2,18,2,13,Sensor,0.022323431928575947,114.044827191726,114.06715062365458,110.0,114.044827191726
1,SINK_M,SimpleCase,Actuator,M.B,16,8,11,8,ServiceA,0,114.1436676339733,114.1436676339733,111.04475212701504,114.1436676339733
1,COMP_M,SimpleCase,ServiceA,M.A,0,14,0,9,Sensor,0.022323431928575947,115.02241509859525,115.04473853052382,110.0,115.02241509859525
4,COMP_M,SimpleCase,ServiceA,M.A,3,18,3,13,Sensor,0.022323431928575947,116.022413595863,116.04473702779157,110.0,116.022413595863
1,COMP_M,SimpleCase,ServiceA,M.A,0,16,0,11,Sensor,0.022323431928575947,116.04485739017295,116.06718082210152,110.0,116.04485739017295
6,COMP_M,SimpleCase,ServiceA,M.A,5,17,5,12,Sensor,0.022323431928575947,117.02243022804508,117.04475365997365,110.0,117.02243022804508
2,COMP_M,SimpleCase,ServiceA,M.A,1,15,1,10,Sensor,0.022323431928575947,117.02247208057722,117.0447955125058,110.0,117.02247208057722
1,SINK_M,SimpleCase,Actuator,M.B,17,8,12,8,ServiceA,0,117.14366916693191,117.14366916693191,112.04475365997365,117.14366916693191
8,SINK_M,SimpleCase,Actuator,M.B,16,8,11,8,ServiceA,0,117.24258314093154,117.24258314093154,113.04475212701504,117.24258314093154
3,SINK_M,SimpleCase,Actuator,M.B,18,8,13,8,ServiceA,0,118.14365253474983,118.14365253474983,111.04473702779158,118.14365253474983
1,SINK_M,SimpleCase,Actuator,M.B,14,8,9,8,ServiceA,0,120.14365403748207,120.14365403748207,115.04473853052382,120.14365403748207
5,SINK_M,SimpleCase,Actuator,M.B,16,8,11,8,ServiceA,0,120.3414986478898,120.3414986478898,114.04475212701504,120.3414986478898
10,COMP_M,SimpleCase,ServiceA,M.A,1,18,1,13,Sensor,0.022323431928575947,121.022413595863,121.04473702779158,120.0,121.022413595863
9,COMP_M,SimpleCase,ServiceA,M.A,0,16,0,11,Sensor,0.022323431928575947,121.02242869508648,121.04475212701504,120.0,121.02242869508648
9,COMP_M,SimpleCase,ServiceA,M.A,0,17,0,12,Sensor,0.022323431928575947,122.02243022804508,122.04475365997365,120.0,122.02243022804508
2,SINK_M,SimpleCase,Actuator,M.B,15,8,10,8,ServiceA,0,122.14371101946405,122.14371101946405,117.0447955125058,122.14371101946405
6,SINK_M,SimpleCase,Actuator,M.B,17,8,12,8,ServiceA,0,122.24258467389015,122.24258467389015,117.04475365997365,122.24258467389015
16,COMP_M,SimpleCase,ServiceA,M.A,7,16,7,11,Sensor,0.022323431928575947,123.02242869508648,123.04475212701504,120.0,123.02242869508648
7,SINK_M,SimpleCase,Actuator,M.B,16,8,11,8,ServiceA,0,123.44041415484804,123.44041415484804,114.06707555894363,123.44041415484804
13,COMP_M,SimpleCase,ServiceA,M.A,4,16,4,11,Sensor,0.022323431928575947,124.02242869508648,124.04475212701504,120.0,124.02242869508648
15,COMP_M,SimpleCase,ServiceA,M.A,6,16,6,11,Sensor,0.022323431928575947,124.04475212701504,124.06707555894363,120.0,124.02242869508648
10,COMP_M,SimpleCase,ServiceA,M.A,1,18,1,13,Sensor,0.022323431928575947,124.044827191726,124.06715062365458,120.0,124.044827191726
9,COMP_M,SimpleCase,ServiceA,M.A,0,14,0,9,Sensor,0.022323431928575947,125.02241509859525,125.04473853052382,120.0,125.02241509859525
3,SINK_M,SimpleCase,Actuator,M.B,18,8,13,8,ServiceA,0,125.24256804170808,125.24256804170808,114.06715062365458,125.24256804170808
