id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,0,7,SimpleCase,6.000046728971963,M.A,10,1000,0
1,LINK,0,8,SimpleCase,4.000046728971963,M.A,10,1000,1
1,LINK,0,10,SimpleCase,10.000074074074075,M.A,10,1000,2
1,LINK,0,12,SimpleCase,3.0000395256916996,M.A,10,1000,3
1,LINK,0,13,SimpleCase,10.000038167938932,M.A,10,1000,4
1,LINK,0,16,SimpleCase,8.00004255319149,M.A,10,1000,5
2,LINK,1,9,SimpleCase,9.000038910505836,M.A,10,1000,6
3,LINK,2,11,SimpleCase,9.000039682539683,M.A,10,1000,7
4,LINK,3,14,SimpleCase,10.000043103448276,M.A,10,1000,8
5,LINK,4,15,SimpleCase,2.0000564971751413,M.A,10,1000,9
6,LINK,5,15,SimpleCase,9.000056497175141,M.A,10,1000,10
5,LINK,5,15,SimpleCase,9.000056497175141,M.A,12.000056497175141,1000,10
5,LINK,15,6,SimpleCase,2.00075,M.B,12.022366054336645,750,11
1,LINK,12,6,SimpleCase,4.00075,M.B,13.022349082853204,750,11
1,LINK,8,6,SimpleCase,9.00075,M.B,14.022356286133467,750,11
5,LINK,8,6,SimpleCase,9.00075,M.B,14.023116054336645,750,11
1,LINK,7,6,SimpleCase,1.00075,M.B,16.02235628613347,750,11
1,LINK,7,6,SimpleCase,1.00075,M.B,17.023099082853204,750,11
1,LINK,7,6,SimpleCase,1.00075,M.B,17.02310628613347,750,11
1,LINK,16,6,SimpleCase,8.00075,M.B,18.022352110352998,750,11
1,LINK,16,6,SimpleCase,8.00075,M.B,18.02385628613347,750,11
2,LINK,9,6,SimpleCase,9.00075,M.B,19.022348467667342,750,9
3,LINK,11,6,SimpleCase,6.00075,M.B,19.02234923970119,750,10
6,LINK,15,6,SimpleCase,2.00075,M.B,19.022366054336647,750,11
1,LINK,15,6,SimpleCase,2.00075,M.B,19.02460628613347,750,11
7,LINK,0,7,SimpleCase,6.000046728971963,M.A,20,1000,12
7,LINK,0,8,SimpleCase,4.000046728971963,M.A,20,1000,13
7,LINK,0,10,SimpleCase,10.000074074074075,M.A,20,1000,14
7,LINK,0,12,SimpleCase,3.0000395256916996,M.A,20,1000,15
7,LINK,0,13,SimpleCase,10.000038167938932,M.A,20,1000,16
7,LINK,0,16,SimpleCase,8.00004255319149,M.A,20,1000,17
8,LINK,1,9,SimpleCase,9.000038910505836,M.A,20,1000,18
9,LINK,2,11,SimpleCase,9.000039682539683,M.A,20,1000,19
10,LINK,3,15,SimpleCase,1.0000564971751413,M.A,20,1000,20
11,LINK,4,14,SimpleCase,10.000043103448276,M.A,20,1000,21
12,LINK,5,15,SimpleCase,9.000056497175141,M.A,20,1000,22
1,LINK,5,13,SimpleCase,8.000038167938932,M.A,20.000038167938932,1000,22
4,LINK,5,14,SimpleCase,5.0000431034482755,M.A,20.000043103448277,1000,22
1,LINK,5,10,SimpleCase,9.000074074074075,M.A,20.000074074074075,1000,22
1,LINK,13,6,SimpleCase,7.00075,M.B,20.02234772510044,750,23
4,LINK,14,6,SimpleCase,8.00075,M.B,20.022352660609783,750,24
1,LINK,10,6,SimpleCase,1.00075,M.B,20.02238363123558,750,25
10,LINK,15,6,SimpleCase,2.00075,M.B,21.022366054336647,750,25
6,LINK,15,6,SimpleCase,2.00075,M.B,21.023116054336647,750,25
1,LINK,15,6,SimpleCase,2.00075,M.B,21.02313363123558,750,25
7,LINK,12,6,SimpleCase,4.00075,M.B,23.022349082853207,750,25
1,LINK,12,6,SimpleCase,4.00075,M.B,23.02310628613347,750,25
1,LINK,12,6,SimpleCase,4.00075,M.B,23.023866054336647,750,25
7,LINK,8,6,SimpleCase,9.00075,M.B,24.02235628613347,750,25
4,LINK,14,6,SimpleCase,8.00075,M.B,25.02239576405806,750,25
3,LINK,14,6,SimpleCase,8.00075,M.B,25.02309923970119,750,25
10,LINK,14,6,SimpleCase,8.00075,M.B,25.024616054336647,750,25
7,LINK,7,6,SimpleCase,1.00075,M.B,26.02235628613347,750,25
1,LINK,7,6,SimpleCase,1.00075,M.B,26.023102110352998,750,25
1,LINK,7,6,SimpleCase,1.00075,M.B,27.02309772510044,750,25
7,LINK,7,6,SimpleCase,1.00075,M.B,27.023099082853207,750,25
7,LINK,7,6,SimpleCase,1.00075,M.B,27.02310628613347,750,25
6,LINK,7,6,SimpleCase,1.00075,M.B,27.025366054336647,750,25
7,LINK,16,6,SimpleCase,8.00075,M.B,28.022352110352998,750,23
1,LINK,13,6,SimpleCase,7.00075,M.B,28.02238589303937,750,24
5,LINK,15,6,SimpleCase,2.00075,M.B,28.022422551511788,750,25
2,LINK,15,6,SimpleCase,2.00075,M.B,28.023098467667342,750,25
4,LINK,15,6,SimpleCase,2.00075,M.B,28.023102660609783,750,25
1,LINK,15,6,SimpleCase,2.00075,M.B,28.02385628613347,750,25
8,LINK,9,6,SimpleCase,9.00075,M.B,29.022348467667342,750,23
9,LINK,11,6,SimpleCase,6.00075,M.B,29.02234923970119,750,24
1,LINK,10,6,SimpleCase,1.00075,M.B,29.022457705309655,750,25
1,LINK,10,6,SimpleCase,1.00075,M.B,29.02460628613347,750,25
1,LINK,10,6,SimpleCase,1.00075,M.B,29.026116054336647,750,25
13,LINK,0,7,SimpleCase,6.000046728971963,M.A,30,1000,26
