state,Edge_Device_0,Edge_Device_1,Edge_Device_2,Edge_Device_3,Edge_Device_4,Edge_Device_5,Edge_Device_6,Edge_Device_7,Edge_Device_8,Edge_Device_9
"{'PR': {0: 2, 1: 2, 2: 6, 3: 10, 4: 8, 5: 9, 6: 2, 7: 7, 8: 6, 9: 2}, 'memories': {0: (600, 19400), 1: (200, 19800), 2: (400, 19600), 3: (600, 19400), 4: (200, 19800), 5: (200, 19800), 6: (600, 19400), 7: (400, 19600), 8: (600, 19400), 9: (400, 19600)}, 'bandwidth': {0: (2.42, 2.42), 1: (5.12, 5.12), 2: (5.14, 5.14), 3: (4.9799999999999995, 4.9799999999999995), 4: (3.54, 3.54), 5: (4.5200000000000005, 4.5200000000000005), 6: (3.94, 3.94), 7: (3.8, 3.8), 8: (4.9399999999999995, 4.9399999999999995), 9: (4.34, 4.34)}, 'input_size': 1000}",10.697427984947353,11.930531519981969,18.69757011911338,26.697423279360237,22.697417175472083,24.69743941463844,10.697515015466024,20.697424835489755,18.697429578572837,27.16250027801334
"{'PR': {0: 2, 1: 2, 2: 6, 3: 10, 4: 8, 5: 9, 6: 2, 7: 7, 8: 6, 9: 2}, 'memories': {0: (200, 19800), 1: (600, 19400), 2: (200, 19800), 3: (400, 19600), 4: (200, 19800), 5: (400, 19600), 6: (200, 19800), 7: (600, 19400), 8: (600, 19400), 9: (600, 19400)}, 'bandwidth': {0: (2.7, 2.7), 1: (4.88, 4.88), 2: (4.08, 4.08), 3: (4.9, 4.9), 4: (4.12, 4.12), 5: (4.4399999999999995, 4.4399999999999995), 6: (5.0, 5.0), 7: (3.5799999999999996, 3.5799999999999996), 8: (2.84, 2.84), 9: (5.24, 5.24)}, 'input_size': 900}",9.41345193848315,9.413553721867174,17.41371384047352,25.413455037656604,21.413445891315178,23.41358851223299,9.413534583111186,19.41347477449881,17.413445891315178,25.023016278977366
"{'PR': {0: 2, 1: 2, 2: 6, 3: 10, 4: 8, 5: 9, 6: 2, 7: 7, 8: 6, 9: 2}, 'memories': {0: (600, 19400), 1: (600, 19400), 2: (400, 19600), 3: (200, 19800), 4: (600, 19400), 5: (600, 19400), 6: (600, 19400), 7: (600, 19400), 8: (400, 19600), 9: (200, 19800)}, 'bandwidth': {0: (2.7800000000000002, 2.7800000000000002), 1: (5.1, 5.1), 2: (4.86, 4.86), 3: (4.779999999999999, 4.779999999999999), 4: (5.24, 5.24), 5: (5.0600000000000005, 5.0600000000000005), 6: (5.1, 5.1), 7: (5.2, 5.2), 8: (4.279999999999999, 4.279999999999999), 9: (5.0600000000000005, 5.0600000000000005)}, 'input_size': 1100}",10.698579043777045,11.930656291323885,18.698097968432194,26.698111719936378,22.698291421794465,24.69815667853163,10.69822832850241,20.698248900236422,18.698115296997457,29.163543623443616
"{'PR': {0: 2, 1: 2, 2: 6, 3: 10, 4: 8, 5: 9, 6: 2, 7: 7, 8: 6, 9: 2}, 'memories': {0: (200, 19800), 1: (200, 19800), 2: (600, 19400), 3: (200, 19800), 4: (600, 19400), 5: (600, 19400), 6: (600, 19400), 7: (400, 19600), 8: (400, 19600), 9: (600, 19400)}, 'bandwidth': {0: (4.04, 4.04), 1: (4.34, 4.34), 2: (4.12, 4.12), 3: (4.86, 4.86), 4: (4.84, 4.84), 5: (4.18, 4.18), 6: (4.279999999999999, 4.279999999999999), 7: (4.5200000000000005, 4.5200000000000005), 8: (4.96, 4.96), 9: (4.66, 4.66)}, 'input_size': 1000}",10.69838076221788,10.698415669132714,18.698475574111058,26.698386962614677,22.698709561678243,24.698530677758413,10.69838076221788,20.698394995517447,18.698477942095906,27.164428006474054
"{'PR': {0: 2, 1: 2, 2: 6, 3: 10, 4: 8, 5: 9, 6: 2, 7: 7, 8: 6, 9: 2}, 'memories': {0: (600, 19400), 1: (400, 19600), 2: (600, 19400), 3: (400, 19600), 4: (400, 19600), 5: (400, 19600), 6: (200, 19800), 7: (400, 19600), 8: (400, 19600), 9: (400, 19600)}, 'bandwidth': {0: (5.14, 5.14), 1: (4.66, 4.66), 2: (3.88, 3.88), 3: (2.96, 2.96), 4: (5.04, 5.04), 5: (3.88, 3.88), 6: (4.66, 4.66), 7: (4.84, 4.84), 8: (4.4399999999999995, 4.4399999999999995), 9: (5.08, 5.08)}, 'input_size': 1100}",13.813384014751819,12.110118971488532,20.110170451540057,28.110154512109943,24.110117337986935,26.11022310721785,12.110255485553694,22.110233476750295,20.11027320843243,29.517023243505605
"{'PR': {0: 2, 1: 2, 2: 6, 3: 10, 4: 8, 5: 9, 6: 2, 7: 7, 8: 6, 9: 2}, 'memories': {0: (400, 19600), 1: (200, 19800), 2: (600, 19400), 3: (600, 19400), 4: (400, 19600), 5: (400, 19600), 6: (400, 19600), 7: (600, 19400), 8: (200, 19800), 9: (200, 19800)}, 'bandwidth': {0: (5.12, 5.12), 1: (4.7, 4.7), 2: (4.12, 4.12), 3: (5.04, 5.04), 4: (2.7800000000000002, 2.7800000000000002), 5: (3.7, 3.7), 6: (5.12, 5.12), 7: (4.9399999999999995, 4.9399999999999995), 8: (4.1, 4.1), 9: (3.6, 3.6)}, 'input_size': 1000}",11.930611219208572,10.698238134686221,18.69814842176754,26.69818015694966,22.698086619534706,24.698054568252587,10.698108549359176,20.698088362909857,18.698090120935262,23.16356450477997
"{'PR': {0: 2, 1: 2, 2: 6, 3: 10, 4: 8, 5: 9, 6: 2, 7: 7, 8: 6, 9: 2}, 'memories': {0: (400, 19600), 1: (600, 19400), 2: (400, 19600), 3: (600, 19400), 4: (200, 19800), 5: (400, 19600), 6: (200, 19800), 7: (200, 19800), 8: (600, 19400), 9: (200, 19800)}, 'bandwidth': {0: (4.18, 4.18), 1: (3.9799999999999995, 3.9799999999999995), 2: (5.08, 5.08), 3: (5.2, 5.2), 4: (4.1, 4.1), 5: (5.18, 5.18), 6: (2.7800000000000002, 2.7800000000000002), 7: (5.0200000000000005, 5.0200000000000005), 8: (4.92, 4.92), 9: (4.64, 4.64)}, 'input_size': 1100}",10.695858333132605,10.69605364563256,18.695904836108753,26.695898731102602,22.696039756743744,24.695900748636745,10.695865153569116,20.695917534521527,18.69585172255563,27.159903773849123
"{'PR': {0: 2, 1: 2, 2: 6, 3: 10, 4: 8, 5: 9, 6: 2, 7: 7, 8: 6, 9: 2}, 'memories': {0: (200, 19800), 1: (200, 19800), 2: (400, 19600), 3: (200, 19800), 4: (600, 19400), 5: (600, 19400), 6: (400, 19600), 7: (400, 19600), 8: (200, 19800), 9: (400, 19600)}, 'bandwidth': {0: (4.62, 4.62), 1: (5.12, 5.12), 2: (5.0600000000000005, 5.0600000000000005), 3: (5.08, 5.08), 4: (4.7, 4.7), 5: (5.08, 5.08), 6: (4.279999999999999, 4.279999999999999), 7: (4.84, 4.84), 8: (4.68, 4.68), 9: (5.08, 5.08)}, 'input_size': 1000}",10.698726993829922,11.93166867151183,18.698885039806925,26.698779810731338,22.698726993829922,24.698782025276472,10.698737677590628,20.69870248402603,18.698713552969735,27.1647722042583
"{'PR': {0: 2, 1: 2, 2: 6, 3: 10, 4: 8, 5: 9, 6: 2, 7: 7, 8: 6, 9: 2}, 'memories': {0: (400, 19600), 1: (200, 19800), 2: (600, 19400), 3: (400, 19600), 4: (400, 19600), 5: (400, 19600), 6: (400, 19600), 7: (200, 19800), 8: (200, 19800), 9: (200, 19800)}, 'bandwidth': {0: (3.5200000000000005, 3.5200000000000005), 1: (5.279999999999999, 5.279999999999999), 2: (4.9799999999999995, 4.9799999999999995), 3: (3.3200000000000003, 3.3200000000000003), 4: (5.2, 5.2), 5: (4.2, 4.2), 6: (4.220000000000001, 4.220000000000001), 7: (3.6, 3.6), 8: (5.2, 5.2), 9: (3.6, 3.6)}, 'input_size': 900}",12.03708638420494,13.716196971258569,20.037208888742157,28.03705021309986,24.0373391293773,26.037037801208953,12.037057501021422,22.037041841915425,20.037058994301674,31.395021793223748
"{'PR': {0: 2, 1: 2, 2: 6, 3: 10, 4: 8, 5: 9, 6: 2, 7: 7, 8: 6, 9: 2}, 'memories': {0: (400, 19600), 1: (200, 19800), 2: (400, 19600), 3: (200, 19800), 4: (400, 19600), 5: (600, 19400), 6: (400, 19600), 7: (400, 19600), 8: (400, 19600), 9: (600, 19400)}, 'bandwidth': {0: (4.5600000000000005, 4.5600000000000005), 1: (2.96, 2.96), 2: (3.4799999999999995, 3.4799999999999995), 3: (5.0200000000000005, 5.0200000000000005), 4: (2.7800000000000002, 2.7800000000000002), 5: (5.2, 5.2), 6: (4.92, 4.92), 7: (5.14, 5.14), 8: (4.9, 4.9), 9: (5.04, 5.04)}, 'input_size': 1100}",10.699380388958502,10.69940903479187,18.699380388958502,26.699387209395013,22.699487286824365,24.69976551627326,10.69946956938304,20.699394249845568,18.69940524691299,27.165757530420706
